id_paquete,tipo_red,origen,destino,estado,latencia_ms,congestion
1,LAN,192.168.1.10,192.168.1.20,Perdido,,False
2,LAN,192.168.1.10,192.168.1.20,Perdido,,False
3,LAN,192.168.1.10,192.168.1.20,Perdido,,False
4,LAN,192.168.1.10,192.168.1.20,Recibido,137.87,False
5,LAN,192.168.1.10,192.168.1.20,Perdido,,False
6,LAN,192.168.1.10,192.168.1.20,Perdido,,False
7,LAN,192.168.1.10,192.168.1.20,Perdido,,False
8,LAN,192.168.1.10,192.168.1.20,Recibido,141.32,False
9,LAN,192.168.1.10,192.168.1.20,Perdido,,False
10,LAN,192.168.1.10,192.168.1.20,Perdido,,False
11,LAN,192.168.1.10,192.168.1.20,Perdido,,False
12,LAN,192.168.1.10,192.168.1.20,Perdido,,False
13,LAN,192.168.1.10,192.168.1.20,Perdido,,False
14,LAN,192.168.1.10,192.168.1.20,Perdido,,False
15,LAN,192.168.1.10,192.168.1.20,Recibido,144.68,False
16,LAN,192.168.1.10,192.168.1.20,Perdido,,True
17,LAN,192.168.1.10,192.168.1.20,Perdido,,True
18,LAN,192.168.1.10,192.168.1.20,Perdido,,True
19,LAN,192.168.1.10,192.168.1.20,Perdido,,True
20,LAN,192.168.1.10,192.168.1.20,Perdido,,True
21,LAN,192.168.1.10,192.168.1.20,Perdido,,True
